campus_id,campus_name,building_id,year,month,total_kw_consumed,total_gas_consumed,total_water_consumed,scope_1_emissions,scope_2_emissions,total_emissions,category,gross_floor_area,carbon_intensity
1,Bundoora,6,2021.0,4.0,1234.94,2.19,96.05,0.01,0.49,0.51,other,6210.75,8e-05
1,Bundoora,6,2021.0,5.0,120.63,2.44,96.46,0.01,0.05,0.06,other,6210.75,1e-05
1,Bundoora,6,2021.0,6.0,118.41,2.35,96.98,0.01,0.05,0.06,other,6210.75,1e-05
1,Bundoora,6,2021.0,7.0,121.35,2.53,97.54,0.01,0.05,0.06,other,6210.75,1e-05
1,Bundoora,6,2021.0,8.0,114.77,2.29,98.09,0.01,0.05,0.06,other,6210.75,1e-05
1,Bundoora,6,2021.0,9.0,103.12,2.15,99.27,0.01,0.04,0.05,other,6210.75,1e-05
1,Bundoora,6,2021.0,10.0,125.02,2.04,677.6,0.01,0.05,0.06,other,6210.75,1e-05
1,Bundoora,6,2021.0,11.0,256.93,2.02,651.47,0.01,0.1,0.11,other,6210.75,2e-05
1,Bundoora,6,2021.0,12.0,94.06,1.31,969.48,0.01,0.04,0.04,other,6210.75,1e-05
1,Bundoora,6,2022.0,1.0,76.31,0.0,1105.56,0.0,0.03,0.03,other,6210.75,0.0
1,Bundoora,6,2022.0,2.0,75.55,0.0,1107.24,0.0,0.03,0.03,other,6210.75,0.0
1,Bundoora,6,2022.0,3.0,76.81,0.0,804.43,0.0,0.03,0.03,other,6210.75,0.0
1,Bundoora,6,2022.0,4.0,141.21,0.0,165.09,0.0,0.06,0.06,other,6210.75,1e-05
1,Bundoora,7,2018.0,1.0,10340.27,0.0,0.0,0.0,4.14,4.14,teaching,176996.6100000002,2e-05
1,Bundoora,7,2018.0,2.0,16492.78,0.0,0.0,0.0,6.6,6.6,teaching,176996.6100000002,4e-05
1,Bundoora,7,2018.0,3.0,19249.22,0.0,0.0,0.0,7.7,7.7,teaching,176996.6100000002,4e-05
1,Bundoora,7,2018.0,4.0,17561.49,0.0,0.0,0.0,7.02,7.02,teaching,176996.6100000002,4e-05
1,Bundoora,7,2018.0,5.0,18912.36,76.46,0.0,0.41,7.56,7.97,teaching,176996.6100000002,5e-05
1,Bundoora,7,2018.0,6.0,16642.68,84.43,0.0,0.45,6.66,7.1,teaching,176996.6100000002,4e-05
1,Bundoora,7,2018.0,7.0,15586.64,90.31,0.0,0.48,6.23,6.71,teaching,176996.6100000002,4e-05
1,Bundoora,7,2018.0,8.0,16848.03,87.86,0.0,0.47,6.74,7.2,teaching,176996.6100000002,4e-05
1,Bundoora,7,2018.0,9.0,14531.77,83.02,0.0,0.44,5.81,6.25,teaching,176996.6100000002,4e-05
1,Bundoora,7,2018.0,10.0,17509.18,77.24,0.0,0.41,7.0,7.41,teaching,176996.6100000002,4e-05
1,Bundoora,7,2018.0,11.0,15172.26,69.13,0.0,0.37,6.07,6.44,teaching,176996.6100000002,4e-05
1,Bundoora,7,2018.0,12.0,13060.34,39.63,0.0,0.21,5.22,5.43,teaching,176996.6100000002,3e-05
